led,BKN,FEW,OVC,altim_in_hg,dewpoint_c,elevation_m,flight_category,latitude,longitude,observation_time,precip_in,station_id,temp_c,visibility_statute_mi,wind_dir_degrees,wind_speed_kt,wx_string,temp_f,elevation_ft,cloudbase_msl,cloudbase_agl,R,G,B,clr,clr255
83,,,,30.070866,6.1,7.0,VFR,32.57,-117.12,2017-11-19T15:56:00Z,,KNRS,13.9,10.0,20.0,6.0,,57.019999999999996,22.96588,3190.909090909091,3167.943210909091,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
84,,,,30.070866,-4.4,807.0,,32.63,-116.47,2017-11-19T15:52:00Z,,KCZZ,12.8,,10.0,4.0,,55.040000000000006,2647.6378799999998,7036.363636363637,4388.725756363638,,,,"[nan, nan, nan]","[nan, nan, nan]"
85,,,,30.088583,0.0,-17.0,VFR,32.83,-115.58,2017-11-19T15:53:00Z,,KIPL,11.7,10.0,0.0,0.0,,53.06,-55.77428,4786.363636363636,4842.137916363636,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
86,,,,30.088583,-6.7,-35.0,VFR,33.63,-116.17,2017-11-19T15:52:00Z,,KTRM,14.4,10.0,330.0,6.0,,57.92,-114.82939999999999,8631.818181818182,8746.647581818183,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
87,,,,30.259842,-15.0,626.0,VFR,34.28,-116.17,2017-11-19T15:56:00Z,,KNXP,5.0,7.0,310.0,5.0,,41.0,2053.80584,8181.818181818181,6128.012341818181,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
88,,,,30.268702,-16.0,2059.0,VFR,34.27,-116.85,2017-11-19T16:35:00Z,,KL35,1.0,10.0,0.0,0.0,,33.8,6755.24956,6954.545454545454,199.29589454545385,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
89,,,,30.200787,-9.0,1220.0,VFR,35.13,-118.43,2017-11-19T16:35:00Z,,KTSP,8.0,10.0,110.0,10.0,,46.4,4002.6248,6954.545454545454,2951.920654545454,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
90,30000,,,30.389763,0.6,174.0,VFR,32.9,-97.02,2017-11-19T15:53:00Z,,KDFW,11.7,10.0,0.0,3.0,,53.06,570.86616,4540.90909090909,3970.04293090909,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
91,,,,29.97933,17.2,3.0,VFR,25.8,-80.28,2017-11-19T15:53:00Z,,KMIA,26.7,10.0,280.0,5.0,,80.06,9.84252,3886.363636363636,3876.521116363636,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
92,,,,30.041338,-6.7,188.0,VFR,41.78,-87.75,2017-11-19T15:53:00Z,,KMDW,0.6,10.0,300.0,10.0,,33.08,616.79792,2986.363636363636,2369.565716363636,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
93,25000,,,30.129921,-9.4,1640.0,VFR,39.85,-104.65,2017-11-19T15:53:00Z,,KDEN,5.0,10.0,200.0,9.0,,41.0,5380.5776,5890.909090909091,510.33149090909137,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
